1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2.001
33	2.002
34	2.004
35	2.006
36	2.008
37	2.011
38	2.013
39	2.016
40	2.019
41	2.022
42	2.024
43	2.027
44	2.03
45	2.033
46	2.035
47	2.038
48	2.04
49	2.042
50	2.044
51	2.046
52	2.047
53	2.048
54	2.049
55	2.05
56	2.051
57	2.051
58	2.051
59	2.051
60	2.05
61	2.05
62	2.049
63	2.048
64	2.047
65	2.046
66	2.045
67	2.043
68	2.042
69	2.04
70	2.039
71	2.037
72	2.036
73	2.034
74	2.033
75	2.032
76	2.03
77	2.029
78	2.028
79	2.027
80	2.026
81	2.025
82	2.024
83	2.024
84	2.024
85	2.023
86	2.023
87	2.023
88	2.023
89	2.023
90	2.024
91	2.024
92	2.024
93	2.025
94	2.026
95	2.026
96	2.027
97	2.028
98	2.029
99	2.029
100	2.03
101	2.031
102	2.032
103	2.033
104	2.033
105	2.034
106	2.035
107	2.035
108	2.036
109	2.036
110	2.037
111	2.037
112	2.038
113	2.038
114	2.038
115	2.038
116	2.038
117	2.038
118	2.038
119	2.038
120	2.038
121	2.037
122	2.037
123	2.037
124	2.036
125	2.036
126	2.035
127	2.035
128	2.035
129	2.034
130	2.034
131	2.033
132	2.033
133	2.032
134	2.032
135	2.032
136	2.031
137	2.031
138	2.031
139	2.031
140	2.03
141	2.03
142	2.03
143	2.03
144	2.03
145	2.03
146	2.03
147	2.03
148	2.03
149	2.03
150	2.03
151	2.031
152	2.031
153	2.031
154	2.031
155	2.031
156	2.032
157	2.032
158	2.032
159	2.032
160	2.033
161	2.033
162	2.033
163	2.033
164	2.033
165	2.034
166	2.034
167	2.034
168	2.034
169	2.034
170	2.034
171	2.034
172	2.034
173	2.034
174	2.034
175	2.034
176	2.034
177	2.034
178	2.034
179	2.034
180	2.034
181	2.034
182	2.034
183	2.034
184	2.034
185	2.033
186	2.033
187	2.033
188	2.033
189	2.033
190	2.033
